id,time,com.baidu.adt.hmi.passenger
1,16:6:56,18.25
2,16:7:3,27.5
3,16:7:10,20.0
4,16:7:17,14.25
5,16:7:25,12.88
6,16:7:32,24.0
7,16:7:38,21.38
8,16:7:45,23.62
9,16:7:53,23.12
10,16:8:0,22.75
