id,time,com.tencent.tmgp.gnyx,com.tencent.tmgp.gnyx:estPlugin,com.tencent.tmgp.gnyx:xg_vip_service
1,16:28:30,258.0,0.0,0.0
2,16:28:37,303.0,0.0,0.0
3,16:28:45,242.0,0.0,0.0
4,16:28:52,275.0,0.0,0.0
5,16:29:0,227.0,0.0,0.0
6,16:29:7,217.0,0.0,0.0
7,16:29:15,257.0,0.0,3.5
8,16:29:23,203.0,0.0,0.0
9,16:29:30,225.0,0.0,0.0
