FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
37,0,0,33.61,39.32,51.72,41.07,37.93,32.76,65.57,36.21,23.73,22.58,1392,1392,1392,1392,2400,2400,2400,1498,-1.00,-1.00,-1,87,34.00,0,4.095
50,0,0,33.38,51.40,43.64,33.33,25.00,32.20,78.69,61.29,95.00,41.38,864,864,864,864,2400,2400,2400,1498,-1.00,-1.00,-1,87,34.00,0,4.095
50,0,0,33.38,46.19,48.28,36.67,35.00,26.79,67.21,60.00,55.00,43.33,1268,1268,1268,1268,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.45,42.95,52.73,42.86,37.93,32.14,68.85,47.37,31.15,33.33,864,864,864,864,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.45,38.40,58.06,42.11,43.33,30.91,70.69,25.86,26.23,8.20,1392,1392,1392,1392,1844,1844,1844,1498,-1.00,-1.00,-1,87,34.00,0,4.095
43,0,0,33.69,39.74,52.63,36.84,29.82,31.67,61.67,47.46,34.48,22.03,1268,1268,1268,1268,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
43,0,0,33.69,38.97,57.14,40.00,31.58,28.57,71.19,35.00,32.79,18.03,999,999,999,999,2132,2132,2132,2112,-1.00,-1.00,-1,87,34.00,0,4.095
48,0,0,33.42,49.78,53.33,35.19,32.14,33.87,55.17,44.07,46.55,94.92,864,864,864,864,2228,2228,2228,2583,-1.00,-1.00,-1,87,34.00,0,4.095
48,0,0,33.42,46.58,48.21,28.81,21.43,21.43,58.93,61.67,45.16,78.69,1133,1133,1133,1133,2228,2228,2228,2500,-1.00,-1.00,-1,87,34.00,0,4.095
41,0,0,33.57,39.74,59.65,43.64,36.21,36.84,72.13,35.59,18.64,13.33,1133,1133,1133,1133,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
41,0,0,33.57,35.90,54.39,42.11,35.09,29.31,69.64,34.43,23.73,0.00,864,864,864,864,2228,2228,2228,2583,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.80,35.39,54.39,42.11,35.00,30.36,51.72,38.98,24.14,6.67,1508,1508,1508,1508,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.80,44.84,55.93,44.07,35.59,35.00,71.19,45.16,31.03,40.98,999,999,999,999,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
42,0,0,33.45,48.61,48.21,35.71,34.48,29.31,62.90,40.68,40.00,91.53,1133,1133,1133,1133,2228,2228,2228,2583,-1.00,-1.00,-1,87,34.00,0,4.095
42,0,0,33.45,47.10,44.83,26.79,24.14,20.37,65.00,45.90,60.66,83.93,864,864,864,864,2228,2228,2228,2583,-1.00,-1.00,-1,87,34.00,0,4.095
38,1,0,50.02,36.44,54.39,43.10,32.14,30.36,67.80,43.10,22.81,0.00,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
38,1,0,50.02,40.79,54.24,40.32,36.07,27.78,57.63,45.16,28.81,30.00,1508,1508,1508,1508,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
35,0,0,49.98,38.89,58.62,40.00,40.35,31.03,60.66,33.33,28.81,15.25,1133,1133,1133,1133,2228,2228,2228,2362,-1.00,-1.00,-1,87,34.00,0,4.095
35,0,0,49.98,36.54,51.72,36.21,30.51,25.86,65.00,29.82,21.31,32.20,1133,1133,1133,1133,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.43,40.25,45.61,30.51,28.81,30.00,55.17,42.11,46.67,43.86,999,999,999,999,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.43,50.54,48.28,33.93,33.33,26.79,59.32,52.54,50.00,95.00,999,999,999,999,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,1,0,50.04,51.78,50.85,37.50,37.10,35.00,68.33,54.24,55.00,75.00,864,864,864,864,2228,2228,2228,2583,-1.00,-1.00,-1,87,34.00,0,4.095
40,1,0,50.04,42.83,50.85,37.29,24.53,28.07,56.14,40.68,39.34,61.67,864,864,864,864,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
32,1,0,50.01,38.64,53.57,43.10,38.33,30.51,55.93,41.67,27.12,23.33,1392,1392,1392,1392,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
32,1,0,50.01,40.17,54.39,37.04,33.90,33.90,62.71,43.55,26.67,31.67,1392,1392,1392,1392,1844,1844,1844,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.36,41.96,56.14,48.33,38.33,33.87,56.45,39.34,42.62,22.95,1133,1133,1133,1133,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.36,51.06,52.63,34.48,31.67,31.15,68.33,60.00,59.02,74.14,1133,1133,1133,1133,2333,2333,2333,2583,-1.00,-1.00,-1,87,34.00,0,4.095
41,0,0,33.39,50.54,50.88,36.21,32.76,28.57,71.93,58.33,55.74,68.42,541,541,541,541,2228,2228,2228,2583,-1.00,-1.00,-1,87,34.00,0,4.095
41,0,0,33.39,40.68,49.12,38.60,28.57,32.76,59.02,42.62,27.87,49.18,1133,1133,1133,1133,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
38,0,0,33.47,35.81,48.28,41.94,31.03,24.56,67.80,51.67,19.67,6.56,1392,1392,1392,1392,2228,2228,2228,2362,-1.00,-1.00,-1,87,34.00,0,4.095
38,0,0,33.47,39.66,51.72,35.19,41.67,31.58,62.30,34.43,29.82,28.33,864,864,864,864,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
39,0,0,33.36,39.24,51.67,35.09,24.56,25.00,72.13,37.29,27.12,35.00,999,999,999,999,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
39,0,0,33.36,46.47,53.33,35.71,34.55,32.73,66.67,48.28,50.00,47.54,864,864,864,864,2228,2228,2228,2583,-1.00,-1.00,-1,87,34.00,0,4.095
52,0,0,33.37,54.98,41.82,30.36,27.27,34.43,63.16,73.77,68.85,93.10,864,864,864,864,2400,2400,2400,1498,-1.00,-1.00,-1,87,34.00,0,4.095
52,0,0,33.37,49.68,45.45,26.42,32.79,22.64,67.74,52.63,72.13,69.35,864,864,864,864,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
47,0,0,33.51,40.17,50.00,32.14,38.33,34.48,56.14,45.00,34.43,33.87,1133,1133,1133,1133,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
47,0,0,33.51,39.57,52.63,37.50,38.33,32.76,73.77,31.67,30.51,18.03,1392,1392,1392,1392,1844,1844,1844,1498,-1.00,-1.00,-1,87,34.00,0,4.095
41,0,0,33.50,38.62,61.40,45.90,38.71,32.76,78.69,32.81,20.34,0.00,1392,1392,1392,1392,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
41,0,0,33.50,37.82,57.63,38.98,28.57,32.20,67.21,38.98,32.26,4.92,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
46,0,0,33.56,40.60,44.64,35.09,29.82,33.33,63.33,36.21,43.33,36.21,999,999,999,999,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
46,0,0,33.56,36.92,61.02,43.33,35.59,35.59,76.27,22.58,20.00,6.67,1392,1392,1392,1392,2228,2228,2228,2247,-1.00,-1.00,-1,87,34.00,0,4.095
46,0,0,33.39,36.77,48.21,31.58,30.36,28.07,62.90,37.93,33.33,22.95,1392,1392,1392,1392,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
46,0,0,33.39,41.10,56.90,42.86,35.59,33.90,67.80,37.70,40.00,16.39,1133,1133,1133,1133,1690,1690,1690,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.39,33.62,55.36,43.33,32.73,26.79,56.67,43.10,13.56,0.00,999,999,999,999,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.39,36.83,54.39,37.50,27.27,33.33,54.84,40.00,30.65,20.00,1392,1392,1392,1392,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
