FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
40,3,0,50.04,56.68,63.16,54.55,53.57,50.00,52.38,45.61,37.29,96.61,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.36,61.15,67.92,55.32,58.00,53.85,63.27,66.67,52.83,69.09,1508,1508,1508,1508,2400,2400,2400,1748,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.36,54.08,65.08,55.93,51.79,55.74,59.09,53.13,40.30,50.79,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.53,48.26,69.09,63.16,50.00,53.70,63.33,47.46,30.00,15.25,1392,1392,1392,1392,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.53,52.37,73.68,64.91,62.50,57.41,62.30,44.07,37.70,18.33,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,47.91,67.86,60.34,56.36,52.83,62.71,49.15,23.64,13.33,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,49.78,62.96,51.85,52.73,47.06,63.33,53.45,40.32,25.42,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.01,55.18,64.71,54.17,54.00,47.92,61.82,51.85,42.31,61.82,1623,1623,1623,1623,2132,2132,2132,2247,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.01,54.42,56.67,53.13,43.10,47.62,75.00,40.00,40.63,81.54,1623,1623,1623,1623,2400,2400,2400,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.35,53.10,61.54,47.17,43.14,41.18,63.16,50.00,45.16,72.13,1392,1392,1392,1392,2228,2228,2228,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.35,50.65,63.64,55.36,51.79,51.85,62.71,46.55,40.98,32.20,1392,1392,1392,1392,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.00,49.45,66.67,58.18,51.92,50.91,68.33,55.93,46.67,0.00,1748,1748,1748,1748,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.00,51.88,68.42,58.82,56.36,51.02,70.00,58.62,33.33,22.95,1623,1623,1623,1623,912,912,912,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,54.85,70.83,63.27,60.78,60.00,75.93,62.96,38.46,7.41,1748,1748,1748,1748,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,48.78,59.65,56.67,50.00,43.64,60.94,58.46,40.00,22.39,1623,1623,1623,1623,1268,1268,1268,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.41,56.14,63.64,56.36,52.83,54.39,63.79,41.67,45.00,72.88,1623,1623,1623,1623,2400,2400,2400,2112,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.41,61.82,64.81,57.41,56.60,57.89,66.13,49.12,58.06,81.36,1748,1748,1748,1748,1268,1268,1268,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.43,57.33,63.79,57.89,54.39,55.36,60.34,59.02,43.33,67.24,1844,1844,1844,1844,2400,2400,2400,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.43,50.11,64.29,54.72,53.85,52.00,66.10,42.86,37.29,31.67,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,49.99,57.58,73.58,60.78,64.15,59.18,67.27,53.70,50.00,38.60,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,49.99,51.90,70.77,61.02,57.89,54.10,67.69,49.21,32.31,18.75,1844,1844,1844,1844,1268,1268,1268,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.06,63.71,76.79,67.86,69.09,70.37,66.10,58.33,63.79,35.09,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.06,59.91,75.44,70.69,66.07,67.27,71.19,55.17,44.83,34.43,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.36,51.54,41.82,37.93,30.91,34.55,59.65,53.33,50.82,100.00,1844,1844,1844,1844,2400,2400,2400,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.36,49.23,40.00,33.33,29.41,28.00,61.67,50.85,55.74,84.75,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,50.01,43.56,45.83,38.78,44.00,38.30,59.62,52.94,41.51,25.00,1844,1844,1844,1844,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,50.01,49.60,66.10,61.02,58.33,55.00,60.61,50.00,31.25,20.90,1844,1844,1844,1844,1152,1152,1152,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.37,49.23,66.04,57.41,61.11,55.56,65.57,50.82,29.31,13.56,1623,1623,1623,1623,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
